product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
SNDL Inc.,SNDL,0.0,2020-10-01,2021-10-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-10-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-10-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-10-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-10-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-10-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2020-10-01,2021-10-01,6.64,93.02,119.53,26.51,-4.05,22.46,28.49,24.14
Full portfolio,,47.0,2020-10-01,2021-10-01,78.17,3674.08,2607.48,418.28,-117.61,300.67,11.38,8.18
Cloudflare,NET,0.0,2020-10-01,2021-11-01,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
Pacific,UIMT.AS,3.0,2020-10-01,2021-11-01,69.66,208.99,224.04,15.05,-4.06,10.99,7.2,5.26
Emerging markets,AYEM.DE,12.0,2020-10-01,2021-11-01,5.94,71.26,73.51,2.25,0.0,2.25,3.16,3.16
Europe,IESE.AS,7.0,2020-10-01,2021-11-01,54.71,382.97,444.43,61.46,-4.12,57.34,16.05,14.97
USA,UIMP.AS,5.0,2020-10-01,2021-11-01,139.83,699.16,873.8,174.64,-2.11,172.53,24.98,24.68
MongoDB,MDB,0.0,2020-10-01,2021-11-01,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
PayPal,PYPL,2.0,2020-10-01,2021-11-01,229.16,458.32,462.56,4.24,-1.0,3.24,0.93,0.71
Tilray Brands,TLRY,0.0,2020-10-01,2021-11-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-11-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-11-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-11-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-11-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-11-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-11-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2020-10-01,2021-11-01,6.64,93.02,122.15,29.13,-4.05,25.08,31.32,26.96
Full portfolio,,43.0,2020-10-01,2021-11-01,85.44,3674.08,2200.49,286.77,46.86,333.63,7.81,9.08
Emerging markets,AYEM.DE,27.0,2020-10-01,2021-12-01,5.97,161.17,165.43,4.26,0.0,4.26,2.64,2.64
Pacific,UIMT.AS,4.0,2020-10-01,2021-12-01,70.63,282.53,293.32,10.79,-6.08,4.71,3.82,1.67
Europe,IESE.AS,11.0,2020-10-01,2021-12-01,57.38,631.17,688.16,56.99,-6.19,50.8,9.03,8.05
USA,UIMP.AS,6.0,2020-10-01,2021-12-01,146.45,878.7,1076.64,197.94,-2.11,195.83,22.53,22.29
Nasdaq,NQSE.DE,30.0,2020-10-01,2021-12-01,10.66,319.68,314.4,-5.28,0.0,-5.28,-1.65,-1.65
Cloudflare,NET,0.0,2020-10-01,2021-12-01,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2020-10-01,2021-12-01,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
PayPal,PYPL,2.0,2020-10-01,2021-12-01,229.16,458.32,358.64,-99.68,-1.0,-100.68,-21.75,-21.97
Tilray Brands,TLRY,0.0,2020-10-01,2021-12-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-12-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-12-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-12-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-12-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-12-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-12-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2020-10-01,2021-12-01,6.64,93.02,120.22,27.2,-4.05,23.15,29.25,24.89
Full portfolio,,94.0,2020-10-01,2021-12-01,48.78,4584.95,3016.81,192.22,42.77,234.99,4.19,5.13
Emerging markets,AYEM.DE,27.0,2020-10-01,2022-01-01,5.97,161.17,162.46,1.29,0.0,1.29,0.8,0.8
Pacific,UIMT.AS,4.0,2020-10-01,2022-01-01,70.63,282.53,298.04,15.51,-6.08,9.43,5.49,3.34
Europe,IESE.AS,11.0,2020-10-01,2022-01-01,57.38,631.17,713.79,82.62,-6.19,76.43,13.09,12.11
USA,UIMP.AS,6.0,2020-10-01,2022-01-01,146.45,878.7,1093.44,214.74,-2.11,212.63,24.44,24.2
Nasdaq,NQSE.DE,30.0,2020-10-01,2022-01-01,10.66,319.68,316.92,-2.76,0.0,-2.76,-0.86,-0.86
Cloudflare,NET,0.0,2020-10-01,2022-01-01,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2020-10-01,2022-01-01,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
PayPal,PYPL,2.0,2020-10-01,2022-01-01,229.16,458.32,377.16,-81.16,-1.0,-82.16,-17.71,-17.93
Tilray Brands,TLRY,0.0,2020-10-01,2022-01-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2022-01-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2022-01-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2022-01-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2022-01-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2022-01-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2022-01-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2020-10-01,2022-01-01,6.64,93.02,117.44,24.42,-4.05,20.37,26.26,21.9
Full portfolio,,94.0,2020-10-01,2022-01-01,48.78,4584.95,3079.25,254.66,42.77,297.43,5.55,6.49
Nasdaq,NQSE.DE,32.0,2020-10-01,2022-02-01,10.57,338.2,304.99,-33.21,0.0,-33.21,-9.82,-9.82
Emerging markets,AYEM.DE,27.0,2020-10-01,2022-02-01,5.97,161.17,165.38,4.2,0.0,4.2,2.61,2.61
Pacific,UIMT.AS,4.0,2020-10-01,2022-02-01,70.63,282.53,281.96,-0.57,-6.08,-6.65,-0.2,-2.35
Europe,IESE.AS,11.0,2020-10-01,2022-02-01,57.38,631.17,679.14,47.97,-6.19,41.78,7.6,6.62
USA,UIMP.AS,6.0,2020-10-01,2022-02-01,146.45,878.7,1001.4,122.7,-2.11,120.59,13.96,13.72
Cloudflare,NET,0.0,2020-10-01,2022-02-01,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2020-10-01,2022-02-01,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
PayPal,PYPL,2.0,2020-10-01,2022-02-01,229.16,458.32,351.6,-106.72,-1.0,-107.72,-23.29,-23.5
Tilray Brands,TLRY,0.0,2020-10-01,2022-02-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2022-02-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2022-02-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2022-02-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2022-02-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2022-02-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2022-02-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2020-10-01,2022-02-01,6.64,93.02,115.85,22.83,-4.05,18.78,24.54,20.19
